row_id,file,line_number,entry_type,original_jp,vietnamese,notes
1311,komyu_hayato.ks,30,glink_choice,プレゼント,Tặng quà,Lựa chọn / Giao diện hệ thống
1312,komyu_hayato.ks,31,glink_choice,お金かして,Mượn tiền,Lựa chọn / Giao diện hệ thống
1313,komyu_hayato.ks,32,glink_choice,夕食に誘う,Rủ đi ăn tối,Lựa chọn / Giao diện hệ thống
1314,komyu_hayato.ks,33,glink_choice,適当に切り上げる,Kết thúc trò chuyện,Lựa chọn / Giao diện hệ thống
1394,komyu_nagi.ks,33,glink_choice,雑談,Trò chuyện phiếm,Lựa chọn / Giao diện hệ thống
1395,komyu_nagi.ks,34,glink_choice,プレゼント,Tặng quà,Lựa chọn / Giao diện hệ thống
1396,komyu_nagi.ks,35,glink_choice,デートに誘う,Rủ đi hẹn hò,Lựa chọn / Giao diện hệ thống
1397,komyu_nagi.ks,36,glink_choice,夕食に誘う,Rủ đi ăn tối,Lựa chọn / Giao diện hệ thống
1398,komyu_nagi.ks,37,glink_choice,適当に切り上げる,Kết thúc trò chuyện,Lựa chọn / Giao diện hệ thống
1399,komyu_nagi.ks,42,glink_choice,えっちしたい,Muốn làm tình,Lựa chọn / Giao diện hệ thống
1522,komyu_nagi_kaeru.ks,178,glink_choice,A天気の話,Chủ đề A: Thời tiết,Lựa chọn / Giao diện hệ thống
1523,komyu_nagi_kaeru.ks,179,glink_choice,B団地の話,Chủ đề B: Khu chung cư,Lựa chọn / Giao diện hệ thống
1524,komyu_nagi_kaeru.ks,180,glink_choice,C仕事の話,Chủ đề C: Công việc,Lựa chọn / Giao diện hệ thống
1525,komyu_nagi_kaeru.ks,181,glink_choice,D趣味の話,Chủ đề D: Sở thích,Lựa chọn / Giao diện hệ thống
1527,komyu_nagi_kaeru.ks,209,glink_choice,A思い出の話,Chủ đề A: Kỷ niệm cũ,Lựa chọn / Giao diện hệ thống
1528,komyu_nagi_kaeru.ks,210,glink_choice,B好きな人の話,Chủ đề B: Người mình thích,Lựa chọn / Giao diện hệ thống
1529,komyu_nagi_kaeru.ks,211,glink_choice,C結婚の話,Chủ đề C: Kết hôn,Lựa chọn / Giao diện hệ thống
1530,komyu_nagi_kaeru.ks,212,glink_choice,Dえっちな話,Muốn làm tình,Lựa chọn / Giao diện hệ thống
1531,komyu_nagi_kaeru.ks,243,glink_choice,食事に誘う,Rủ đi ăn tối,Lựa chọn / Giao diện hệ thống
1532,komyu_nagi_kaeru.ks,253,glink_choice,デートに誘う,Rủ đi hẹn hò,Lựa chọn / Giao diện hệ thống
1533,komyu_nagi_kaeru.ks,263,glink_choice,えっちしたい,Muốn làm tình,Lựa chọn / Giao diện hệ thống
1536,komyu_nagi_kaeru.ks,300,glink_choice,告白する,Tỏ tình,Lựa chọn / Giao diện hệ thống
1537,komyu_nagi_kaeru.ks,301,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
1611,komyu_nagi_kaeru_humikonda.ks,62,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1612,komyu_nagi_kaeru_humikonda.ks,113,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1613,komyu_nagi_kaeru_humikonda.ks,163,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1614,komyu_nagi_kaeru_humikonda.ks,212,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1667,komyu_nagi_kaeru_humikonda.ks,570,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1668,komyu_nagi_kaeru_humikonda.ks,618,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1669,komyu_nagi_kaeru_humikonda.ks,666,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1670,komyu_nagi_kaeru_humikonda.ks,716,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1723,komyu_nagi_kaeru_humikonda.ks,1074,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1724,komyu_nagi_kaeru_humikonda.ks,1123,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1725,komyu_nagi_kaeru_humikonda.ks,1172,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1726,komyu_nagi_kaeru_humikonda.ks,1221,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1779,komyu_nagi_kaeru_humikonda.ks,1578,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1780,komyu_nagi_kaeru_humikonda.ks,1627,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1781,komyu_nagi_kaeru_humikonda.ks,1676,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1782,komyu_nagi_kaeru_humikonda.ks,1725,ptext_ui,コミュP,Điểm Komyu Point,Lựa chọn / Giao diện hệ thống
1835,komyu_nagi_kaeru_nitijyoukaiwa.ks,10,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1836,komyu_nagi_kaeru_nitijyoukaiwa.ks,47,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1837,komyu_nagi_kaeru_nitijyoukaiwa.ks,84,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1838,komyu_nagi_kaeru_nitijyoukaiwa.ks,125,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1891,komyu_nagi_kaeru_nitijyoukaiwa.ks,473,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1892,komyu_nagi_kaeru_nitijyoukaiwa.ks,509,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1893,komyu_nagi_kaeru_nitijyoukaiwa.ks,545,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1894,komyu_nagi_kaeru_nitijyoukaiwa.ks,586,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1947,komyu_nagi_kaeru_nitijyoukaiwa.ks,934,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1948,komyu_nagi_kaeru_nitijyoukaiwa.ks,969,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1949,komyu_nagi_kaeru_nitijyoukaiwa.ks,1005,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
1950,komyu_nagi_kaeru_nitijyoukaiwa.ks,1043,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
2003,komyu_nagi_kaeru_nitijyoukaiwa.ks,1392,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
2004,komyu_nagi_kaeru_nitijyoukaiwa.ks,1427,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
2005,komyu_nagi_kaeru_nitijyoukaiwa.ks,1463,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
2006,komyu_nagi_kaeru_nitijyoukaiwa.ks,1504,ptext_ui,乱数,Số ngẫu nhiên (RNG),Lựa chọn / Giao diện hệ thống
2066,komyu_rinko.ks,35,glink_choice,雑談,Trò chuyện phiếm,Lựa chọn / Giao diện hệ thống
2067,komyu_rinko.ks,36,glink_choice,プレゼント,Tặng quà,Lựa chọn / Giao diện hệ thống
2068,komyu_rinko.ks,37,glink_choice,デートに誘う,Rủ đi hẹn hò,Lựa chọn / Giao diện hệ thống
2069,komyu_rinko.ks,38,glink_choice,夕食に誘う,Rủ đi ăn tối,Lựa chọn / Giao diện hệ thống
2070,komyu_rinko.ks,39,glink_choice,適当に切り上げる,Kết thúc trò chuyện,Lựa chọn / Giao diện hệ thống
2071,komyu_rinko.ks,44,glink_choice,えっちしたい,Muốn làm tình,Lựa chọn / Giao diện hệ thống
2201,komyu_tubomi.ks,34,glink_choice,雑談,Trò chuyện phiếm,Lựa chọn / Giao diện hệ thống
2202,komyu_tubomi.ks,35,glink_choice,プレゼント,Tặng quà,Lựa chọn / Giao diện hệ thống
2203,komyu_tubomi.ks,36,glink_choice,デートに誘う,Rủ đi hẹn hò,Lựa chọn / Giao diện hệ thống
2204,komyu_tubomi.ks,37,glink_choice,夕食に誘う,Rủ đi ăn tối,Lựa chọn / Giao diện hệ thống
2205,komyu_tubomi.ks,38,glink_choice,適当に切り上げる,Kết thúc trò chuyện,Lựa chọn / Giao diện hệ thống
2206,komyu_tubomi.ks,43,glink_choice,えっちしたい,Muốn làm tình,Lựa chọn / Giao diện hệ thống
2349,EV_trap_reaction_kenka.ks,89,glink_choice,昨日…大丈夫だった？,Hôm qua... em có sao không?,Lựa chọn / Giao diện hệ thống
2350,EV_trap_reaction_kenka.ks,90,glink_choice,なんかあったらいつでも相談してよ,Có chuyện gì cứ tâm sự với mình nhé,Lựa chọn / Giao diện hệ thống
2351,EV_trap_reaction_kenka.ks,91,glink_choice,今日はいい天気だね,Hôm nay thời tiết đẹp thật nhỉ,Lựa chọn / Giao diện hệ thống
2382,sinnyu_PC.ks,28,ptext_ui,マウスホイールでスクロール,Cuộn con lăn chuột,Lựa chọn / Giao diện hệ thống
2386,sinnyu_PC.ks,174,ptext_ui,マウスホイールでスクロール,Cuộn con lăn chuột,Lựa chọn / Giao diện hệ thống
2390,sinnyu_PC.ks,300,ptext_ui,マウスホイールでスクロール,Cuộn con lăn chuột,Lựa chọn / Giao diện hệ thống
2619,sinnyu_comhaiti.ks,69,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2620,sinnyu_comhaiti.ks,70,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2621,sinnyu_comhaiti.ks,85,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2622,sinnyu_comhaiti.ks,86,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2623,sinnyu_comhaiti.ks,102,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2624,sinnyu_comhaiti.ks,103,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2625,sinnyu_comhaiti.ks,118,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2626,sinnyu_comhaiti.ks,119,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2627,sinnyu_comhaiti.ks,134,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2628,sinnyu_comhaiti.ks,135,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2629,sinnyu_comhaiti.ks,151,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2630,sinnyu_comhaiti.ks,152,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2631,sinnyu_comhaiti.ks,167,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2632,sinnyu_comhaiti.ks,168,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2633,sinnyu_comhaiti.ks,183,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2634,sinnyu_comhaiti.ks,184,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2635,sinnyu_comhaiti.ks,199,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2636,sinnyu_comhaiti.ks,200,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2637,sinnyu_comhaiti.ks,215,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2638,sinnyu_comhaiti.ks,216,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2639,sinnyu_comhaiti.ks,231,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2640,sinnyu_comhaiti.ks,232,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2641,sinnyu_comhaiti.ks,247,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2642,sinnyu_comhaiti.ks,248,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2643,sinnyu_comhaiti.ks,263,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2644,sinnyu_comhaiti.ks,264,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2645,sinnyu_comhaiti.ks,279,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2646,sinnyu_comhaiti.ks,280,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2647,sinnyu_comhaiti.ks,295,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2648,sinnyu_comhaiti.ks,296,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2649,sinnyu_comhaiti.ks,311,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2650,sinnyu_comhaiti.ks,312,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2651,sinnyu_comhaiti.ks,327,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2652,sinnyu_comhaiti.ks,328,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2653,sinnyu_comhaiti.ks,343,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2654,sinnyu_comhaiti.ks,344,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2655,sinnyu_comhaiti.ks,359,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2656,sinnyu_comhaiti.ks,360,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2657,sinnyu_comhaiti.ks,375,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2658,sinnyu_comhaiti.ks,376,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2659,sinnyu_comhaiti.ks,391,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2660,sinnyu_comhaiti.ks,392,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2661,sinnyu_comhaiti.ks,407,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2662,sinnyu_comhaiti.ks,408,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2663,sinnyu_comhaiti.ks,423,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2664,sinnyu_comhaiti.ks,424,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2665,sinnyu_comhaiti.ks,439,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2666,sinnyu_comhaiti.ks,440,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2667,sinnyu_comhaiti.ks,455,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2668,sinnyu_comhaiti.ks,456,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2669,sinnyu_comhaiti.ks,471,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2670,sinnyu_comhaiti.ks,472,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2671,sinnyu_comhaiti.ks,487,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2672,sinnyu_comhaiti.ks,488,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2673,sinnyu_comhaiti.ks,503,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2674,sinnyu_comhaiti.ks,504,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2675,sinnyu_comhaiti.ks,519,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2676,sinnyu_comhaiti.ks,520,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2677,sinnyu_comhaiti.ks,535,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2678,sinnyu_comhaiti.ks,536,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2679,sinnyu_comhaiti.ks,551,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2680,sinnyu_comhaiti.ks,552,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2681,sinnyu_comhaiti.ks,567,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2682,sinnyu_comhaiti.ks,568,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2683,sinnyu_comhaiti.ks,583,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2684,sinnyu_comhaiti.ks,584,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2685,sinnyu_comhaiti.ks,599,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2686,sinnyu_comhaiti.ks,600,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2687,sinnyu_comhaiti.ks,615,glink_choice,設置する,Lắp đặt,Lựa chọn / Giao diện hệ thống
2688,sinnyu_comhaiti.ks,616,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
2690,sinnyu_item.ks,581,glink_choice,使用する,Sử dụng,Lựa chọn / Giao diện hệ thống
2691,sinnyu_item.ks,582,glink_choice,使用しない,Không sử dụng,Lựa chọn / Giao diện hệ thống
2698,sinnyu_item.ks,622,glink_choice,使用する,Sử dụng,Lựa chọn / Giao diện hệ thống
2699,sinnyu_item.ks,623,glink_choice,使用しない,Không sử dụng,Lựa chọn / Giao diện hệ thống
2706,sinnyu_item.ks,663,glink_choice,使用する,Sử dụng,Lựa chọn / Giao diện hệ thống
2707,sinnyu_item.ks,664,glink_choice,使用しない,Không sử dụng,Lựa chọn / Giao diện hệ thống
2713,sinnyu_item.ks,703,glink_choice,使用する,Sử dụng,Lựa chọn / Giao diện hệ thống
2714,sinnyu_item.ks,704,glink_choice,使用しない,Không sử dụng,Lựa chọn / Giao diện hệ thống
2971,job_moneyget_mesi.ks,22,glink_choice,外出する,Ra ngoài,Lựa chọn / Giao diện hệ thống
2972,job_moneyget_mesi.ks,23,glink_choice,家でのんびりする（体力▲ストレス▼テンション▲）,Nghỉ ngơi thư giãn ở nhà,Lựa chọn / Giao diện hệ thống
2996,sansaku_byouinEV.ks,32,glink_choice,診察を受ける（体力▲￥5000▼）,Khám bệnh (Hồi Thể lực),Lựa chọn / Giao diện hệ thống
2997,sansaku_byouinEV.ks,33,glink_choice,帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3006,sansaku_byouinEV_nagi.ks,33,glink_choice,凪に話しかける,Bắt chuyện với Nagi,Lựa chọn / Giao diện hệ thống
3007,sansaku_byouinEV_nagi.ks,34,glink_choice,診察を受ける（体力▲￥5000▼）,Khám bệnh (Hồi Thể lực),Lựa chọn / Giao diện hệ thống
3023,sansaku_byouinEV_nagihayato.ks,33,glink_choice,二人に話しかける,Bắt chuyện với cả hai người,Lựa chọn / Giao diện hệ thống
3024,sansaku_byouinEV_nagihayato.ks,34,glink_choice,診察を受ける（体力▲￥5000▼）,Khám bệnh (Hồi Thể lực),Lựa chọn / Giao diện hệ thống
3049,sansaku_famiresuEV.ks,32,glink_choice,食べて帰る,Ăn xong rồi về,Lựa chọn / Giao diện hệ thống
3050,sansaku_famiresuEV.ks,33,glink_choice,夜間のバイトをする（▲￥4000　▼体力）,"Làm thêm ca đêm (+4,000 Yên)",Lựa chọn / Giao diện hệ thống
3051,sansaku_famiresuEV.ks,34,glink_choice,帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3055,sansaku_famiresuEV.ks,68,glink_choice,生ビール（テンション▲￥3000▼）,Uống bia tươi (Tăng Hưng phấn),Lựa chọn / Giao diện hệ thống
3056,sansaku_famiresuEV.ks,69,glink_choice,ハンバーガーセット（勇気▲テンション▲￥5000▼）,Set Hamburger (Tăng Dũng cảm),Lựa chọn / Giao diện hệ thống
3057,sansaku_famiresuEV.ks,70,glink_choice,３ポンドステーキ（筋力▲テンション▲▲￥10000▼）,"Set Bít tết bò (Tăng Cơ bắp & Hưng phấn)",Lựa chọn / Giao diện hệ thống
3058,sansaku_famiresuEV.ks,71,glink_choice,やっぱり帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3073,sansaku_famiresuEV_hayato.ks,26,glink_choice,隼人に話しかける,Bắt chuyện với Hayato,Lựa chọn / Giao diện hệ thống
3074,sansaku_famiresuEV_hayato.ks,27,glink_choice,構わず店内に入る,Cứ thế bước vào quán,Lựa chọn / Giao diện hệ thống
3075,sansaku_famiresuEV_hayato.ks,28,glink_choice,夜間のバイトをする（▲￥4000　▼体力）,"Làm thêm ca đêm (+4,000 Yên)",Lựa chọn / Giao diện hệ thống
3076,sansaku_famiresuEV_hayato.ks,29,glink_choice,帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3090,sansaku_famiresuEV_hayato.ks,395,glink_choice,はい,Đồng ý,Lựa chọn / Giao diện hệ thống
3091,sansaku_famiresuEV_hayato.ks,396,glink_choice,いいえ,Không,Lựa chọn / Giao diện hệ thống
3104,sansaku_famiresuEV_tubomi.ks,26,glink_choice,蕾に話しかける,Bắt chuyện với Tsubomi,Lựa chọn / Giao diện hệ thống
3105,sansaku_famiresuEV_tubomi.ks,27,glink_choice,構わず店内に入る,Cứ thế bước vào quán,Lựa chọn / Giao diện hệ thống
3106,sansaku_famiresuEV_tubomi.ks,28,glink_choice,夜間のバイトをする（▲￥4000　▼体力）,"Làm thêm ca đêm (+4,000 Yên)",Lựa chọn / Giao diện hệ thống
3107,sansaku_famiresuEV_tubomi.ks,29,glink_choice,帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3124,sansaku_hankagaiEV.ks,36,glink_choice,宝くじ売り場に行く,Đến quầy bán vé số,Lựa chọn / Giao diện hệ thống
3125,sansaku_hankagaiEV.ks,37,glink_choice,スポーツジムに行く（筋力▲￥5000▼）,Đến phòng Gym (Tăng Cơ bắp),Lựa chọn / Giao diện hệ thống
3126,sansaku_hankagaiEV.ks,38,glink_choice,帰る,Quay về nhà,Lựa chọn / Giao diện hệ thống
3131,sansaku_hankagaiEV.ks,92,glink_choice,宝くじを買う（￥10000▼）,"Mua vé số (-10,000 Yên)",Lựa chọn / Giao diện hệ thống
3132,sansaku_hankagaiEV.ks,93,glink_choice,やめる,Hủy bỏ,Lựa chọn / Giao diện hệ thống
3142,sansaku_hankagaiEV_game.ks,7,ptext_ui,━,━,Lựa chọn / Giao diện hệ thống
3143,sansaku_hankagaiEV_game.ks,10,glink_choice,押す,Nhấn nút,Lựa chọn / Giao diện hệ thống
3148,sansaku_hankagaiEV_hayato.ks,36,glink_choice,隼人に話しかける,Bắt chuyện với Hayato,Lựa chọn / Giao diện hệ thống
3149,sansaku_hankagaiEV_hayato.ks,37,glink_choice,街を散策する,Đi dạo quanh phố,Lựa chọn / Giao diện hệ thống
